000 + 001 = 00001, zero flag=0, sign flag=0, dzf=0 
000 - 001 = 10001, zero flag=0, sign flag=1, dzf=0 
000 * 001 = 00000, zero flag=1, sign flag=0, dzf=0 
000 % 001 = 00000, zero flag=1, sign flag=0, dzf=0 
000 + 010 = 00010, zero flag=0, sign flag=0, dzf=0 
000 - 010 = 10010, zero flag=0, sign flag=1, dzf=0 
000 * 010 = 00000, zero flag=1, sign flag=0, dzf=0 
000 % 010 = 00000, zero flag=1, sign flag=0, dzf=0 
000 + 011 = 00011, zero flag=0, sign flag=0, dzf=0 
000 - 011 = 10011, zero flag=0, sign flag=1, dzf=0 
000 * 011 = 00000, zero flag=1, sign flag=0, dzf=0 
000 % 011 = 00000, zero flag=1, sign flag=0, dzf=0 
001 + 101 = 00000, zero flag=1, sign flag=0, dzf=0 
001 - 101 = 00010, zero flag=0, sign flag=0, dzf=0 
001 * 101 = 10001, zero flag=0, sign flag=1, dzf=0 
001 % 101 = 00000, zero flag=1, sign flag=0, dzf=0 
001 + 110 = 10001, zero flag=0, sign flag=1, dzf=0 
001 - 110 = 00011, zero flag=0, sign flag=0, dzf=0 
001 * 110 = 10010, zero flag=0, sign flag=1, dzf=0 
001 % 110 = 00001, zero flag=0, sign flag=0, dzf=0 
001 + 111 = 10010, zero flag=0, sign flag=1, dzf=0 
001 - 111 = 00100, zero flag=0, sign flag=0, dzf=0 
001 * 111 = 10011, zero flag=0, sign flag=1, dzf=0 
001 % 111 = 00001, zero flag=0, sign flag=0, dzf=0 
001 + 000 = 00001, zero flag=0, sign flag=0, dzf=0 
001 - 000 = 00001, zero flag=0, sign flag=0, dzf=0 
001 * 000 = 00000, zero flag=1, sign flag=0, dzf=0 
001 % 000 = 00000, zero flag=1, sign flag=0, dzf=1 
001 + 001 = 00010, zero flag=0, sign flag=0, dzf=0 
001 - 001 = 00000, zero flag=1, sign flag=0, dzf=0 
001 * 001 = 00001, zero flag=0, sign flag=0, dzf=0 
001 % 001 = 00000, zero flag=1, sign flag=0, dzf=0 
001 + 010 = 00011, zero flag=0, sign flag=0, dzf=0 
001 - 010 = 10001, zero flag=0, sign flag=1, dzf=0 
001 * 010 = 00010, zero flag=0, sign flag=0, dzf=0 
001 % 010 = 00001, zero flag=0, sign flag=0, dzf=0 
001 + 011 = 00100, zero flag=0, sign flag=0, dzf=0 
001 - 011 = 10010, zero flag=0, sign flag=1, dzf=0 
001 * 011 = 00011, zero flag=0, sign flag=0, dzf=0 
001 % 011 = 00001, zero flag=0, sign flag=0, dzf=0 
010 + 101 = 00001, zero flag=0, sign flag=0, dzf=0 
010 - 101 = 00011, zero flag=0, sign flag=0, dzf=0 
010 * 101 = 10010, zero flag=0, sign flag=1, dzf=0 
010 % 101 = 00000, zero flag=1, sign flag=0, dzf=0 
010 + 110 = 00000, zero flag=1, sign flag=0, dzf=0 
010 - 110 = 00100, zero flag=0, sign flag=0, dzf=0 
010 * 110 = 10100, zero flag=0, sign flag=1, dzf=0 
010 % 110 = 00000, zero flag=1, sign flag=0, dzf=0 
010 + 111 = 10001, zero flag=0, sign flag=1, dzf=0 
010 - 111 = 00101, zero flag=0, sign flag=0, dzf=0 
010 * 111 = 10110, zero flag=0, sign flag=1, dzf=0 
010 % 111 = 00010, zero flag=0, sign flag=0, dzf=0 
010 + 000 = 00010, zero flag=0, sign flag=0, dzf=0 
010 - 000 = 00010, zero flag=0, sign flag=0, dzf=0 
010 * 000 = 00000, zero flag=1, sign flag=0, dzf=0 
010 % 000 = 00000, zero flag=1, sign flag=0, dzf=1 
010 + 001 = 00011, zero flag=0, sign flag=0, dzf=0 
010 - 001 = 00001, zero flag=0, sign flag=0, dzf=0 
010 * 001 = 00010, zero flag=0, sign flag=0, dzf=0 
010 % 001 = 00000, zero flag=1, sign flag=0, dzf=0 
010 + 010 = 00100, zero flag=0, sign flag=0, dzf=0 
010 - 010 = 00000, zero flag=1, sign flag=0, dzf=0 
010 * 010 = 00100, zero flag=0, sign flag=0, dzf=0 
010 % 010 = 00000, zero flag=1, sign flag=0, dzf=0 
010 + 011 = 00101, zero flag=0, sign flag=0, dzf=0 
010 - 011 = 10001, zero flag=0, sign flag=1, dzf=0 
010 * 011 = 00110, zero flag=0, sign flag=0, dzf=0 
010 % 011 = 00010, zero flag=0, sign flag=0, dzf=0 
011 + 101 = 00010, zero flag=0, sign flag=0, dzf=0 
011 - 101 = 00100, zero flag=0, sign flag=0, dzf=0 
011 * 101 = 10011, zero flag=0, sign flag=1, dzf=0 
011 % 101 = 00000, zero flag=1, sign flag=0, dzf=0 
011 + 110 = 00001, zero flag=0, sign flag=0, dzf=0 
011 - 110 = 00101, zero flag=0, sign flag=0, dzf=0 
011 * 110 = 10110, zero flag=0, sign flag=1, dzf=0 
011 % 110 = 00001, zero flag=0, sign flag=0, dzf=0 
011 + 111 = 00000, zero flag=1, sign flag=0, dzf=0 
011 - 111 = 00110, zero flag=0, sign flag=0, dzf=0 
011 * 111 = 11001, zero flag=0, sign flag=1, dzf=0 
011 % 111 = 00000, zero flag=1, sign flag=0, dzf=0 
011 + 000 = 00011, zero flag=0, sign flag=0, dzf=0 
011 - 000 = 00011, zero flag=0, sign flag=0, dzf=0 
011 * 000 = 00000, zero flag=1, sign flag=0, dzf=0 
011 % 000 = 00000, zero flag=1, sign flag=0, dzf=1 
011 + 001 = 00100, zero flag=0, sign flag=0, dzf=0 
011 - 001 = 00010, zero flag=0, sign flag=0, dzf=0 
011 * 001 = 00011, zero flag=0, sign flag=0, dzf=0 
011 % 001 = 00000, zero flag=1, sign flag=0, dzf=0 
011 + 010 = 00101, zero flag=0, sign flag=0, dzf=0 
011 - 010 = 00001, zero flag=0, sign flag=0, dzf=0 
011 * 010 = 00110, zero flag=0, sign flag=0, dzf=0 
011 % 010 = 00001, zero flag=0, sign flag=0, dzf=0 
011 + 011 = 00110, zero flag=0, sign flag=0, dzf=0 
011 - 011 = 00000, zero flag=1, sign flag=0, dzf=0 
011 * 011 = 01001, zero flag=0, sign flag=0, dzf=0 
011 % 011 = 00000, zero flag=1, sign flag=0, dzf=0 
